Age,Instability Mean,Instability Std,Group Size
18.0,0.2520352228056611,0.009657568999538253,5
19.0,0.24523998267654604,0.008472900119796107,3
20.0,0.2607570610880838,0.015463732873747587,3
22.0,0.26500238360507355,0.012002540974747932,3
23.0,0.23260927117699728,0.004327625376348892,5
24.0,0.23627151537874205,0.006762474639368689,7
25.0,0.22460657744972162,0.002192590492625556,8
26.0,0.24648297151771387,0.002570542014994693,7
27.0,0.22652247039714962,0.007751887154333876,7
28.0,0.22448052428470158,0.0023957612732470527,12
29.0,0.25543289872352604,0.0029743508967822103,11
30.0,0.23748603519453218,0.007857288735633444,5
31.0,0.2476812984769209,0.004681581904057475,8
32.0,0.22903032532053058,0.002487884385046868,12
33.0,0.23433581811648158,0.005480944656580253,7
34.0,0.23109621969445857,0.003975214137393741,12
35.0,0.22309640019530733,0.00234484586925254,12
36.0,0.22437578983367443,0.0038620614598770106,9
37.0,0.2321088072306705,0.0024071680114004855,17
38.0,0.2403517005536396,0.009070191610807677,5
39.0,0.250066497863481,0.003337385430920133,9
40.0,0.2510005946884469,0.0027905537525096946,14
41.0,0.23998811575326315,0.004633967182223901,9
42.0,0.2549555493200279,0.003557086214623316,11
43.0,0.21825928000738237,0.002596215321640097,6
44.0,0.22703181764499197,0.005341184662926248,10
45.0,0.2098097948369595,0.004157261538376336,8
46.0,0.23684809068742074,0.0025975979354996626,11
47.0,0.23199884183545544,0.0024458141380990705,15
48.0,0.24812436991030662,0.0034497410074388426,13
49.0,0.24178525654895167,0.003749695806166472,9
50.0,0.24089522482259107,0.006876439600962856,7
51.0,0.25086532641317155,0.004318936848264157,9
52.0,0.22778715528235283,0.00271628899464476,13
53.0,0.23652920938529406,0.004335451425523734,7
54.0,0.26007540500124676,0.004055732182095855,10
55.0,0.23174499680771224,0.0044903190274981995,10
56.0,0.25861628848310975,0.004144977462454554,11
57.0,0.2207588188227218,0.004822462448032876,8
58.0,0.2654162776585261,0.004185293717906562,10
59.0,0.2696089465707687,0.002559113461335294,7
60.0,0.25166678421842203,0.0030210569109570735,12
61.0,0.2652796789072154,0.006770923071840101,8
62.0,0.234676606163704,0.002575426071840198,8
63.0,0.2666850991758089,0.004667017954498428,11
64.0,0.2665430018620417,0.004409075843140363,10
65.0,0.2699969143300755,0.003065597618706156,9
66.0,0.2644880799843437,0.003012258671673741,12
67.0,0.2735452854295899,0.006323123939181141,8
68.0,0.26594162115062975,0.003651188599603593,14
69.0,0.2892400749482767,0.0061050499914579994,10
70.0,0.2791581062131525,0.005045995467922187,10
71.0,0.2759286963045619,0.004654588267754473,12
72.0,0.26190603597729806,0.004985361829847208,10
73.0,0.29011780063209514,0.005224049668939699,8
74.0,0.2825377538170565,0.005472510547160414,7
75.0,0.2647696164747259,0.003690071553438838,9
76.0,0.25885323635404034,0.0057955741252853415,11
77.0,0.279818547299688,0.0053860524077256125,8
78.0,0.2870158753967857,0.0042654702521423725,12
79.0,0.2902231593188125,0.0023984122459916137,19
80.0,0.2708524066719514,0.0025355227343184586,17
81.0,0.245009308851617,0.0052232230978678925,7
82.0,0.24973964500651746,0.0029961900530943515,8
83.0,0.2939316453721207,0.004188937125923149,10
84.0,0.26865861755463644,0.014056937946836434,5
85.0,0.2789932909396796,0.005586335334067127,7
86.0,0.25335649989739606,0.006757660333699075,4
87.0,0.24949586002554525,0.0036871876133820337,3
