Age,Instability Mean,Instability Std,Group Size
18.0,0.2715946414359433,0.006593471104684461,5
19.0,0.24247939982697142,0.0072760936707131916,3
20.0,0.26226970151991297,0.016882625665360997,3
22.0,0.26291532015164226,0.012841577294069192,3
23.0,0.24637517155565827,0.005504154847567546,5
24.0,0.23249721264716336,0.0076602882834450785,7
25.0,0.2239735417659706,0.0014578142417308196,8
26.0,0.22468303057518316,0.002778736536789108,7
27.0,0.22130393323981495,0.0058884597304378365,7
28.0,0.21455693752872218,0.0017899528687789067,12
29.0,0.24467489323083225,0.00288878348513424,11
30.0,0.24125617855587675,0.007922687549665155,5
31.0,0.2388081484879466,0.0030630039293469817,8
32.0,0.22489101514687027,0.0029241858266160904,12
33.0,0.23532982247732973,0.007977513772991131,7
34.0,0.2247651266560509,0.0038213259421292227,12
35.0,0.22005285236052619,0.0028891169916593126,12
36.0,0.22421011532056775,0.0032688557372558425,9
37.0,0.22852689577206087,0.0017236322171437482,17
38.0,0.22950289178929206,0.007755643021489537,5
39.0,0.23253509623780463,0.004062915905790875,9
40.0,0.24847656937004178,0.0032579702588006357,14
41.0,0.24637226515617666,0.0038635802791231275,9
42.0,0.2464921941450845,0.0023021992178468725,11
43.0,0.22804361995623165,0.002949017350824003,6
44.0,0.22395979212496053,0.004051136576120445,10
45.0,0.19625374267766973,0.004084918439541235,8
46.0,0.2352618170788029,0.003256944798604143,11
47.0,0.2312444016095019,0.001941748612897412,15
48.0,0.24066347068508354,0.003102671219472682,13
49.0,0.22953050251722187,0.004480645336659674,9
50.0,0.249138113675553,0.006376542346960665,7
51.0,0.24223651687359007,0.004810429812590531,9
52.0,0.22987339962416659,0.003107062721921429,13
53.0,0.2389094057523921,0.005396982271955754,7
54.0,0.2537459593274152,0.004901556035404458,10
55.0,0.21936593263937523,0.005770148788430674,10
56.0,0.24671433709004142,0.00408083898106842,11
57.0,0.22230000621811585,0.006392254210228567,8
58.0,0.263282885545323,0.0030404528393263475,10
59.0,0.265049754151363,0.003567593326791618,7
60.0,0.2567551402488055,0.0030301846387097275,12
61.0,0.2608430436147499,0.006104106969793082,8
62.0,0.23328094831332485,0.0024061781149080567,8
63.0,0.25290809496274347,0.004236201492452096,11
64.0,0.2701033102372897,0.004519435545610695,10
65.0,0.26546237646426823,0.005091818795540644,9
66.0,0.2580863111999256,0.003574174333159144,12
67.0,0.2574525820172474,0.006031733039963754,8
68.0,0.25998465671360976,0.003842073579742954,14
69.0,0.2830623507101702,0.005538428768052642,10
70.0,0.26871666941645556,0.005315540359297804,10
71.0,0.2742516652108289,0.004518761967957659,12
72.0,0.2487444604514198,0.004569180051292795,10
73.0,0.2702352943556521,0.0033133745999734837,8
74.0,0.28679114938457934,0.00582290354733459,7
75.0,0.2704233206658611,0.0037529062261338134,9
76.0,0.2619104765682801,0.005346082841722828,11
77.0,0.27534467892270764,0.005469773772323763,8
78.0,0.2743405664034027,0.003550331165028753,12
79.0,0.2907305054747382,0.0023704480958597045,19
80.0,0.25907688833145653,0.0019551810869592305,17
81.0,0.23872498450008273,0.005771605965750764,7
82.0,0.2515446151964884,0.005114011146107166,8
83.0,0.2892017822984762,0.004118875453880941,10
84.0,0.27233878102902975,0.014317631213606167,5
85.0,0.2789152047138007,0.0061654552067281505,7
86.0,0.2619560623588909,0.0039770678385869255,4
87.0,0.2681987690388792,0.008365077919431639,3
